,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
115,ASP.NET开发工程师,震雄工业园（深圳）有限公司,外资（非欧美）,500-1000人,机械/设备/重工,0.8-1万/月,深圳,3-4年经验,大专,招1人,"['五险一金', '补充公积金', '年终奖金', '定期体检']",3,8.0,10.0,1
116,.NET开发工程师,深圳市鑫信腾科技有限公司,民营公司,150-500人,仪器仪表/工业自动化,1-1.5万/月,深圳,3-4年经验,大专,招5人,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '股票期权']",3,10.0,15.0,1
117,.net软件开发合伙人,深圳市佳维思科技有限公司,民营公司,50-150人,"通信/电信/网络设备,通信/电信运营、增值服务",0.5-2.5万/月,深圳,3-4年经验,本科,招5人,"['五险一金', '绩效奖金', '员工旅游', '年终奖金']",3,5.0,25.0,1
118,.NET开发工程师（急招）,汇智国际旅游发展有限公司,合资,50-150人,酒店/旅游,1-1.5万/月,深圳,3-4年经验,大专,招3人,"['五险一金', '员工旅游', '专业培训', '出国机会', '绩效奖金', '年终奖金']",3,10.0,15.0,1
119,.NET开发工程师,深圳市金众诚科技有限公司,民营公司,少于50人,计算机软件,0.6-1万/月,深圳,2年经验,大专,招1人,"['五险一金', '补充医疗保险', '免费班车', '员工旅游', '交通补贴', '弹性工作', '定期体检', '通讯补贴', '绩效奖金', '年终奖金']",3,6.0,10.0,1
120,.NET开发工程师,深圳怡禾健康管理有限公司,民营公司,50-150人,"医疗/护理/卫生,生活服务",1-1.4万/月,深圳,3-4年经验,本科,招1人,"['五险一金', '节日福利', '带薪年假', '定期体检', '专业培训', '员工旅游', '年终奖金', '做五休二']",3,10.0,14.0,1
121,.NET开发工程师,日东精密回路技术（深圳）有限公司,外资（非欧美）,500-1000人,"电子技术/半导体/集成电路,多元化业务集团公司",6-7.5千/月,深圳,1年经验,本科,招1人,"['五险一金', '免费班车', '年终奖金', '包吃包住']",2,6.0,7.5,1
123,.NET开发工程师,富士康科技集团iDPBG,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,6-8千/月,深圳,2年经验,本科,招若干人,"['五险一金', '定期体检', '专业培训', '绩效奖金', '年终奖金']",2,6.0,8.0,1
124,.NET开发工程师,东莞市商达软件开发有限公司,民营公司,少于50人,计算机软件,0.8-1万/月,东莞,2年经验,大专,招2人,"['五险一金', '弹性工作', '绩效奖金', '年终奖金', '员工旅游', '专业培训']",3,8.0,10.0,1
125,.NET高级开发工程师,麦田春雪科贸（北京）有限公司,民营公司,50-150人,互联网/电子商务,1.5-2万/月,北京,3-4年经验,本科,招若干人,"['弹性工作', '五险一金', '专业培训', '绩效奖金']",3,15.0,20.0,1
