,Unnamed: 0,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
1289,1289,主管顾问-C#,简柏特（大连）有限公司,外资（欧美）,5000-10000人,外包服务,1-1.5万/月,大连,5-7年经验,本科,招若干人,03-22发布,做五休二;周末双休;带薪年假;五险一金;绩效奖金;节日福利;专业培训;加班补贴;补充医疗保险,3,10.0,15.0,1
1290,1290,C#软件工程师,苏州翊曼生物科技有限公司,民营公司,50-150人,医疗设备/器械,1-1.5万/月,苏州,3-4年经验,大专,招1人,03-22发布,五险一金;补充医疗保险;员工旅游;餐饮补贴;通讯补贴;年终奖金;绩效奖金;定期体检;专业培训,3,10.0,15.0,1
1291,1291,C#开发工程师,深圳市筑客云服科技有限公司上海分公司,民营公司,50-150人,计算机软件,0.8-1.6万/月,上海,5-7年经验,大专,招1人,03-22发布,五险一金,3,8.0,16.0,1
1292,1292,C#软件开发人员,深圳市博铭维智能科技有限公司,民营公司,50-150人,机械/设备/重工,0.8-1.2万/月,深圳,2年经验,大专,招1人,03-22发布,五险一金;免费班车;定期体检;各项津贴;绩效奖金;年终奖金;员工旅游,3,8.0,12.0,1
1293,1293,C#工程师				(职位编号：2017082403),北京思拓海洋信息技术有限公司,民营公司,少于50人,互联网/电子商务,6-8千/月,北京,无工作经验,本科,招2人,03-22发布,五险一金;交通补贴;餐饮补贴;通讯补贴;年终奖金;绩效奖金;定期体检,2,6.0,8.0,1
1294,1294,软件工程师（C#VC++）,长园和鹰智能科技（苏州）有限公司,上市公司,1000-5000人,机械/设备/重工,3.5-4.5千/月,苏州,无工作经验,本科,招3人,03-22发布,五险一金;餐饮补贴;专业培训;年终奖金,2,3.5,4.5,1
1295,1295,C/C++/C#工程师,深圳市东微智能科技股份有限公司,民营公司,150-500人,通信/电信/网络设备,0.8-1.5万/月,深圳,2年经验,本科,招1人,03-22发布,周末双休;带薪年假;五险一金;包住宿;节日福利;专业培训,3,8.0,15.0,1
1296,1296,C#开发工程师,广州嘉检医学检测有限公司,民营公司,150-500人,医疗/护理/卫生,1-1.5万/月,广州,无工作经验,不限学历,招1人,03-22发布,五险一金;定期体检;周末双休;年终奖金,3,10.0,15.0,1
1297,1297,C#高级工程师,广州极点三维信息科技有限公司,民营公司,150-500人,计算机软件,1.3-1.8万/月,广州,3-4年经验,本科,招2人,03-22发布,五险一金;员工旅游;餐饮补贴;定期体检;年终奖金,3,13.0,18.0,1
1298,1298,C#开发工程师,杭州艾迪康医学检验中心有限公司,民营公司,1000-5000人,医疗/护理/卫生,0.8-1.6万/月,杭州,无工作经验,不限学历,招1人,03-22发布,五险一金,3,8.0,16.0,1
1299,1299,c#开发测试工程师				(职位编号：0002),西安博彦信息技术有限公司,上市公司,500-1000人,计算机服务(系统、数据服务、维修),0.5-1万/月,西安,无工作经验,大专,招5人,03-22发布,五险一金;专业培训;出国机会;定期体检,3,5.0,10.0,1
1300,1300,C#开发工程师,广东腾安机电安装工程有限公司,民营公司,1000-5000人,建筑/建材/工程,1-2万/月,佛山,3-4年经验,大专,招3人,03-22发布,五险一金;员工旅游;专业培训;年终奖金;绩效奖金;定期体检,3,10.0,20.0,1
1301,1301,软件开发工程师_C#,广州数夫软件科技有限公司,民营公司,50-150人,计算机软件,0.8-2万/月,广州,1年经验,本科,招若干人,03-22发布,五险一金;员工旅游;绩效奖金;年终奖金;专业培训,3,8.0,20.0,1
1302,1302,C#开发工程师,武汉精臣智慧标识科技有限公司,民营公司,150-500人,计算机软件,0.8-1.2万/月,武汉,3-4年经验,不限学历,招1人,03-22发布,全勤奖;节日福利;专业培训;通讯补贴;五险一金;绩效奖金;餐饮补贴;员工旅游,3,8.0,12.0,1
1303,1303,C#开发工程师,安徽绿舟科技有限公司,民营公司,50-150人,计算机软件,1-1.5万/月,上海,2年经验,本科,招1人,03-22发布,五险一金;专业培训;年终奖金;定期体检;弹性工作;周末双休;节假日福利;生日福利,3,10.0,15.0,1
