,Unnamed: 0,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
24,29,Java开发工程师,中航工程集成设备有限公司,国企,500-1000人,航天/航空,1.2-2.5万/月,北京市,2年经验,本科,招1人,03-24发布,五险一金;免费班车;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金;定期体检;节假日福利,3,12,25,1
25,30,Java开发工程师,北京市腾信软创科技股份有限公司,上市公司,1000-5000人,计算机软件,1.2-1.9万/月,深圳,3-4年经验,本科,招3人,03-24发布,五险一金;餐饮补贴;专业培训;员工旅游;周末双休;法定节假日,3,12,19,1
26,31,Java开发工程师,杭州筑家易电子商务有限公司,民营公司,150-500人,计算机软件,1-1.5万/月,杭州,2年经验,大专,招1人,03-24发布,五险一金,3,10,15,1
27,32,Java高级开发工程师（职赢未来子公司）,广东轩辕网络科技股份有限公司,上市公司,150-500人,计算机服务(系统、数据服务、维修),0.9-1.6万/月,广州,3-4年经验,大专,招若干人,03-24发布,五险一金;餐饮补贴;通讯补贴;专业培训;年终奖金;定期体检,3,9,16,1
28,34,Java后台开发工程师,广东联通通信建设有限公司,国企,50-150人,通信/电信/网络设备,0.8-1.5万/月,广州,1年经验,本科,招若干人,03-24发布,五险一金;餐饮补贴;交通补贴;定期体检,3,8,15,1
29,35,高级java程序员,重庆畅停智慧停车服务有限公司,合资,50-150人,互联网/电子商务,0.8-1.2万/月,重庆,5-7年经验,本科,招2人,03-24发布,五险一金;餐饮补贴;周末双休;定期聚餐,3,8,12,1
30,36,"Java开发工程师				(职位编号：1)",深圳市观潮汇数据科技有限公司,民营公司,少于50人,互联网/电子商务,1-1.5万/月,深圳,3-4年经验,本科,招3人,03-24发布,五险一金;专业培训;交通补贴;生日福利,3,10,15,1
31,37,Java开发工程师,深圳市广通软件有限公司,民营公司,150-500人,计算机软件,0.8-1万/月,南京,无工作经验,不限学历,招若干人,03-24发布,五险一金,3,8,10,1
32,38,Java开发工程师,广州星点网络科技有限公司,民营公司,少于50人,互联网/电子商务,0.5-1万/月,广州,1年经验,大专,招3人,03-24发布,五险一金,3,5,10,1
33,39,Java开发工程师,深圳中砼物联网科技有限公司,民营公司,50-150人,计算机软件,0.9-1.5万/月,武汉,3-4年经验,本科,招2人,03-24发布,五险一金,3,9,15,1
34,40,Java开发工程师,中科知图教育科技（苏州）有限公司,民营公司,少于50人,计算机软件,1-1.5万/月,苏州,无工作经验,本科,招6人,03-24发布,五险一金,3,10,15,1
35,41,游戏Java后台开发,浙江星飞信息技术有限公司,民营公司,150-500人,网络游戏,1.5-2.5万/月,广州,3-4年经验,本科,招若干人,03-24发布,五险一金;餐饮补贴;年终奖金;定期体检;下午茶;弹性工作;绩效奖金,3,15,25,1
36,42,Java开发工程师,深圳市盈通数据服务股份有限公司,民营公司,50-150人,计算机软件,0.7-1.2万/月,合肥,3-4年经验,本科,招1人,03-24发布,五险一金,3,7,12,1
37,43,Java高级开发工程师,生鲜港电子商务有限公司,合资,50-150人,互联网/电子商务,1-2万/月,济南,3-4年经验,本科,招1人,03-24发布,五险一金;员工旅游;定期体检;年终奖金;绩效奖金;专业培训,3,10,20,1
38,46,java研发工程师（边源）,浙江新医物联科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,1.5-2.5万/月,杭州,3-4年经验,本科,招1人,03-24发布,周末双休;绩效奖金;年底双薪;员工旅游;定期团建,3,15,25,1
39,47,Java高级开发工程师,苏州华歆聚合网络科技有限公司,合资,少于50人,计算机软件,1-1.5万/月,苏州,5-7年经验,本科,招若干人,03-24发布,缴纳五险;周末双休;带薪年假;绩效奖金;全勤奖;节日福利,3,10,15,1
40,48,Java开发工程师,淮安亚仑科技有限公司,民营公司,少于50人,计算机软件,5-6千/月,淮安,2年经验,本科,招2人,03-24发布,做五休二;周末双休;五险一金;专业培训;节日福利;全勤奖,2,5,6,1
41,49,Java高级开发工程师,钱宝科技服务有限公司,民营公司,150-500人,金融/投资/证券,1.5-2.5万/月,上海,无工作经验,不限学历,招2人,03-24发布,五险一金;员工旅游;餐饮补贴;做五休二;节日福利;定期体检,3,15,25,1
42,50,java开发人员,北京市弘洁建设集团有限公司,民营公司,150-500人,建筑/建材/工程,0.8-1.5万/月,北京市,1年经验,大专,招若干人,03-24发布,五险;餐饮补贴;周末双休;绩效奖金;节日福利,3,8,15,1
43,51,Java+Vue工程师,上海超洁智联科技有限公司,民营公司,150-500人,互联网/电子商务,1-1.5万/月,上海,2年经验,大专,招若干人,03-24发布,五险一金;绩效奖金;节日福利;创业公司;年底双薪;餐饮补贴;带薪年假;做五休二;上升空间大;领导层次高,3,10,15,1
44,53,Java初级开发工程师,重庆中融晟网络信息技术有限公司,民营公司,少于50人,互联网/电子商务,5-8千/月,重庆,2年经验,大专,招2人,03-24发布,五险一金;绩效奖金;年终奖金;员工旅游;专业培训,2,5,8,1
45,54,Java高级开发工程师,上海中消网络科技有限公司,民营公司,50-150人,互联网/电子商务,1.2-2万/月,上海,3-4年经验,本科,招2人,03-24发布,五险一金,3,12,20,1
46,55,PLM开发工程师(Teamcenter/java),深圳市银宝山新科技股份有限公司,上市公司,5000-10000人,机械/设备/重工,1-1.5万/月,深圳,3-4年经验,大专,招1人,03-24发布,五险一金;专业培训;定期体检;住房补贴;带薪年假;节日福利,3,10,15,1
47,56,Java中级开发工程师,中兴软件技术（南昌）有限公司,民营公司,500-1000人,计算机软件,0.8-1.5万/月,宁波,3-4年经验,大专,招2人,03-24发布,五险一金;专业培训;免费班车;年终奖金;周末双休;带薪年假;定期体检;员工旅游,3,8,15,1
48,57,Java开发工程师（京东A+轮）,深圳市凌雄租赁服务有限公司,民营公司,500-1000人,计算机服务(系统、数据服务、维修),1.6-2.3万/月,深圳,3-4年经验,本科,招1人,03-24发布,弹性工作;带薪年假;五险一金;包住宿;绩效奖金;节日福利,3,16,23,1
49,58,Java开发工程师（急招）,浙江浙科信息技术有限公司,民营公司,50-150人,计算机软件,1-3万/月,杭州,1年经验,本科,招5人,03-24发布,五险一金;享受法定假;带薪年假;周末双休;节日福利;高温补贴;全勤奖;年终奖金,3,10,30,1
50,59,Java开发工程师,珠海三益堂科技有限公司,民营公司,150-500人,互联网/电子商务,0.8-1.3万/月,珠海,1年经验,本科,招1人,03-24发布,员工旅游;专业培训;节日福利;包吃;绩效奖金;带薪年假,3,8,13,1
51,60,Java开发工程师,上海恒格信息科技有限公司,民营公司,50-150人,计算机软件,1.2-1.8万/月,上海,5-7年经验,大专,招1人,03-24发布,五险一金;年终奖金;带薪年假;节日福利;免费班车;定期体检,3,12,18,1
52,61,Java高级开发工程师,武汉有意思电子商务有限公司,民营公司,50-150人,互联网/电子商务,0.8-1.5万/月,武汉,3-4年经验,大专,招2人,03-24发布,五险一金;绩效奖金;专业培训;地铁周边;扁平管理;创业氛围;领导nice;分享经济,3,8,15,1
53,62,java研发经理,成都青软青之软件有限公司,民营公司,50-150人,计算机软件,1.2-1.8万/月,成都,5-7年经验,本科,招1人,03-24发布,五险一金;绩效奖金;年终奖金;节日福利;加班补助,3,12,18,1
54,63,Java开发工程师-综合分析,中科三清科技有限公司,国企,150-500人,环保,0.8-1.2万/月,北京市,2年经验,本科,招2人,03-24发布,五险一金;补充医疗保险;补充公积金;餐饮补贴;员工旅游;绩效奖金;年终奖金;股票期权;定期体检,3,8,12,1
55,65,java大数据实训生,合肥合和信息科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,4.5-6千/月,合肥,无工作经验,本科,招8人,03-24发布,五险一金;年终奖金;节日福利;周末双休,2,4.5,6,1
56,67,java开发/软件测试员实训生,广州粤嵌通信科技股份有限公司南昌分公司,民营公司,少于50人,通信/电信/网络设备,3-4.5千/月,南昌,无工作经验,大专,招若干人,03-24发布,五险一金,2,3,4.5,1
57,68,Java高级开发工程师,上海柯杰科技有限公司,民营公司,1000-5000人,计算机软件,1.5-2万/月,深圳,5-7年经验,大专,招1人,03-24发布,五险一金;餐饮补贴;年终奖金;绩效奖金;节日福利;带薪年假;周末双休,3,15,20,1
58,69,Java开发工程师,杭州辉电信息科技有限公司,民营公司,50-150人,通信/电信/网络设备,0.9-1.8万/月,杭州,2年经验,本科,招若干人,03-24发布,补充医疗保险;餐饮补贴;通讯补贴;员工旅游;交通补贴;氛围积极年轻;老板nice;团队培训;五险一金,3,9,18,1
59,70,Java开发工程师,杭州好喜好科技有限公司,民营公司,少于50人,计算机软件,1-1.5万/月,杭州,3-4年经验,大专,招若干人,03-24发布,五险一金,3,10,15,1
