美术老师,北京昌硕信息技术有限公司,民营公司,50-150人,互联网/电子商务,0.6-1.2万/月,北京-房山区,无工作经验,大专,招5人,03-31发布,,,包吃;包住;节日福利;带薪休假;教师培训,
外汇操盘手学徒(5500底薪+提成）,广州沣鼎实业投资有限公司,民营公司,50-150人,金融/投资/证券,4.5-6千/月,广州-天河区,无工作经验,高中,招3人,03-31发布,,金融学 国际金融,年终奖金;弹性工作;员工旅游;五险一金;专业培训,
培训学校诚聘小学段数学老师,沈阳市竞一教育,民营公司,少于50人,教育/培训/院校,5-8千/月,沈阳-大东区,无工作经验,本科,招3人,03-31发布,,,年终奖金;绩效奖金,
现场应用工程师,杭州派析光电科技有限公司,民营公司,少于50人,仪器仪表/工业自动化,0.6-1.2万/月,杭州-西湖区,无工作经验,本科,招3人,03-31发布,,,年终奖金,
金融专员（带薪培训）,杭州殿元教育咨询有限公司,民营公司,少于50人,教育/培训/院校,0.8-1.5万/月,杭州,1年经验,高中,招20人,03-31发布,,,五险一金;补充医疗保险;补充公积金;交通补贴;年终奖金;股票期权;绩效奖金;专业培训;弹性工作;员工旅游,
4S店销售顾问,常熟市德通汽车销售服务有限公司,民营公司,50-150人,汽车及零配件,0.8-1万/月,常熟,无工作经验,高中,招若干人,03-31发布,,,弹性工作;专业培训;绩效奖金;五险;包吃;包住宿;全勤奖;加班补贴;通讯补贴;节日福利,
高薪诚聘销售代表,乌鲁木齐京脉信息技术咨询有限公司,民营公司,50-150人,互联网/电子商务,0.5-1.5万/月,乌鲁木齐,无工作经验,高中,招20人,03-31发布,,,员工旅游;通讯补贴;弹性工作;年底双薪;节日礼金,
语文老师（教师）,西安泽晨教育信息咨询有限公司,创业公司,少于50人,教育/培训/院校,3-4.5千/月,西安-未央区,1年经验,,招2人,03-31发布,,,,
班主任+五险一金,昆明童程童美教育信息咨询有限公司,上市公司,10000人以上,教育/培训/院校,6-8千/月,昆明-官渡区,1年经验,大专,招2人,03-31发布,,,,
选片师（光谷保利店）,武汉美福源孕婴童文化发展有限公司,民营公司,150-500人,影视/媒体/艺术/文化传播,4-8千/月,武汉-武昌区,1年经验,大专,招3人,03-31发布,普通话,,绩效奖金;节日福利;专业培训;餐饮补贴;加班补贴;五险;包住宿,
店长内勤主管经理,宝来祥孕婴,民营公司,少于50人,批发/零售,6-8千/月,沈阳,无工作经验,,招2人,03-31发布,,,加班补贴;全勤奖,
课程顾问				(职位编号：001),珠海市云师教育科技有限公司,民营公司,150-500人,教育/培训/院校,4-8千/月,珠海-香洲区,1年经验,大专,招5人,03-31发布,,,五险一金;员工旅游;专业培训;绩效奖金;弹性工作,
亚马逊德语运营助理,深圳市宝兴德科技有限公司,民营公司,少于50人,家具/家电/玩具/礼品,4.5-5.5千/月,深圳-龙岗区,无工作经验,招若干人,03-31发布,德语,,,专业培训;绩效奖金;年终奖金;五险一金;员工旅游,
班主任+上市公司诚聘,深圳童程童美教育有限公司,上市公司,10000人以上,教育/培训/院校,0.8-1万/月,深圳-龙华新区,1年经验,大专,招3人,03-31发布,,,,
英语老师,杭州晨日初升教育咨询有限公司,民营公司,150-500人,专业服务(咨询、人力资源、财会),0.5-1万/月,杭州-萧山区,无工作经验,本科,招2人,03-31发布,,,五险一金;员工旅游;年终奖金;绩效奖金;专业培训;弹性工作,
实体销售5K+包住+提成+五险一金,武汉炽火经贸有限公司,民营公司,50-150人,办公用品及设备,0.8-1万/月,武汉-武昌区,无工作经验,中专,招4人,03-31发布,,,包住宿;五险一金;绩效奖金;全勤奖;节日福利;专业培训;交通补贴;通讯补贴,
储备主管双休+五险一金,中国平安人寿保险股份有限公司陕西分公司,民营公司,10000人以上,保险,4.5-6千/月,西安-雁塔区,无工作经验,大专,招6人,03-31发布,普通话一般,,五险一金;周末双休;带薪年假;免费班车;专业培训;节日福利;全勤奖;高温补贴;绩效奖金,
市场/营销经理,深圳市卓越成长文化传播有限公司,民营公司,50-150人,酒店/旅游,1-1.5万/月,深圳-福田区,2年经验,大专,招1人,03-31发布,,,五险一金;员工旅游;专业培训;出国机会;绩效奖金;年终奖金,
房地产销售服务+住宿补贴+高提成,上海链家沪北事业部-顾村大区,民营公司,10000人以上,中介服务,0.8-1万/月,上海-宝山区,无工作经验,大专,招5人,03-31发布,,,弹性工作;带薪年假;五险一金;绩效奖金;专业培训,
诚聘美术/书法老师（昆山）				(职位编号：008),昆山市玉山镇三人行才艺培训中心,民营公司,50-150人,教育/培训/院校,600元/天,昆山,1年经验,大专,招10人,03-31发布,,,年终奖金;绩效奖金;专业培训;补充医疗保险;员工旅游;五险一金;餐饮补贴,
淘宝售后客服,合肥哦也电子商务有限公司,民营公司,50-150人,互联网/电子商务,3-4.5千/月,合肥-瑶海区,2年经验,高中,招2人,03-31发布,普通话熟练,,五险一金;加班补贴;专业培训,
活动执行(免费工作餐+住宿）,天津市藏品阁文化艺术交流有限公司,民营公司,50-150人,奢侈品/收藏品/工艺品/珠宝,3.5-6千/月,天津,无工作经验,,招6人,03-31发布,,,五险一金;包吃;全勤奖;节日福利;带薪年假;专业培训;绩效奖金,
网络咨询/网络咨询医生（10-15名）				(职位编号：002),天津河北阳光医院有限公司,民营公司,50-150人,医疗/护理/卫生,4.5-6千/月,天津,1年经验,中专,招15人,03-31发布,普通话熟练 普通话熟练,临床医学与医学技术 护理学,五险一金;绩效奖金;员工旅游,
交易团队招募交易员,郑州亿融电子商务有限公司,民营公司,50-150人,互联网/电子商务,0.8-1万/月,郑州-金水区,无工作经验,大专,招10人,03-31发布,,,,
销售精英非你莫属,深圳市博家教育文化传播有限公司,民营公司,150-500人,教育/培训/院校,0.8-1万/月,深圳-龙华新区,无工作经验,高中,招若干人,03-31发布,,教育学 特殊教育,五险一金;员工旅游;通讯补贴;弹性工作;绩效奖金,
销售主管,荷锐会展服务（上海）有限公司,外资（欧美）,150-500人,公关/市场推广/会展,8-10万/年,上海-闵行区,1年经验,大专,招2人,03-31发布,,,五险一金;员工旅游;餐饮补贴;专业培训;年终奖金;定期体检;绩效奖金;健身俱乐部;节日福利;娱乐室,
淘宝客服,深圳市邸高家居装饰有限公司,民营公司,50-150人,家居/室内设计/装潢,5-7千/月,深圳-罗湖区,1年经验,中专,招3人,03-31发布,,,弹性工作;带薪年假;绩效奖金;全勤奖;节日福利;专业培训;加班补贴;餐饮补贴,
操盘手（实习生+免费培训+双休）,广东兆丰恒业控股集团有限公司,民营公司,150-500人,多元化业务集团公司,0.5-1.2万/月,广州-天河区,无工作经验,,招若干人,03-31发布,,,,
市场营销专员/主管,湖州朗高护理院有限公司,民营公司,50-150人,医疗/护理/卫生,4.5-6千/月,湖州,3-4年经验,中专,招若干人,03-31发布,,,五险一金,
管理培训生-世界百强中国人寿,中国人寿保险股份有限公司长沙市分公司,国企,150-500人,保险,6-8千/月,长沙-雨花区,无工作经验,大专,招6人,03-31发布,,,弹性工作;五险一金;绩效奖金;节日福利;专业培训;公司旅游;外出学习,
金奥教育诚聘中学数学老师,连云港市金奥教育培训中心,非营利组织,50-150人,教育/培训/院校,4.5-8千/月,连云港,无工作经验,本科,招10人,03-31发布,,,五险一金;员工旅游;专业培训;绩效奖金;定期体检;节日福利;生日卡;全勤奖;感恩年会,
亲子老师/带教/儿童策划师,上海沐良诚口腔门诊部有限公司,民营公司,少于50人,医疗/护理/卫生,5-6千/月,上海-徐汇区,无工作经验,,招1人,03-31发布,,,,
