C#开发工程师,博创智能装备股份有限公司,合资,500-1000人,机械/设备/重工,0.8-1万/月,广州-增城,无工作经验,,招1人,03-24发布,,,五险一金;带薪年假;包住宿;包三餐;免费班车;全勤奖;节日福利;绩效奖金;加班补贴;住房补贴,
C#高级开发工程师,上海北溟数据科技有限公司,合资,150-500人,金融/投资/证券,1.8-2.5万/月,上海-浦东新区,5-7年经验,大专,招2人,03-24发布,,,五险一金;餐饮补贴;专业培训;绩效奖金;带薪年假;节日福利;年终奖金;周末双休;餐补;晋升机会,
C#高级软件开发工程师,南京朗赢信息技术有限公司,国企,50-150人,计算机服务(系统、数据服务、维修),1-1.5万/月,南京-栖霞区,3-4年经验,本科,招5人,03-24发布,,,五险一金;绩效奖金;员工旅游,
Java、C#、C++开发员,山西大运汽车销售有限公司,民营公司,1000-5000人,机械/设备/重工,3-4.5千/月,运城,2年经验,本科,招若干人,03-24发布,,,带薪年假;五险一金;包吃;包三餐;包住宿;绩效奖金;节日福利;专业培训;高温补贴,
.NET开发工程师（C#WPF）,广州云作科技有限公司,民营公司,50-150人,计算机软件,1-1.6万/月,广州-天河区,2年经验,大专,招3人,03-24发布,,,五险一金;餐饮补贴;交通补贴;年终奖金,
C#开发经理,新印科技股份有限公司,民营公司,500-1000人,印刷/包装/造纸,1-1.5万/月,长沙-芙蓉区,无工作经验,,招若干人,03-24发布,,,五险一金;带薪年假;节日福利;周末双休;餐饮补贴;包吃;包住宿,
C#/WPF开发工程师,北京天睿空间科技股份有限公司,民营公司,50-150人,计算机软件,1.2-1.8万/月,北京-朝阳区,3-4年经验,本科,招1人,03-24发布,,,五险一金;通讯补贴;餐饮补贴;弹性工作;定期体检,
C#软件工程师,上海欣电信息技术有限公司,民营公司,少于50人,计算机软件,0.6-1万/月,武汉-武昌区,2年经验,本科,招2人,03-24发布,,电气工程及其自动化 计算机科学与技术,,
.net高级软件工程师/C#高级软件开发/asp.net工程师,竞优信息技术（上海）有限公司北京分公司,外资（非欧美）,500-1000人,计算机软件,1-1.5万/月,北京-朝阳区,3-4年经验,本科,招4人,03-24发布,,,五险一金;绩效奖金;通讯补贴;员工旅游;周末双休;带薪年假,
c#/.net软件工程师,深圳市百威智能科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,0.3-1万/月,深圳-龙华新区,1年经验,本科,招3人,03-24发布,,计算机科学与技术 软件工程,,
软件开发工程师（MES开发工程师（c#））,重庆渝江压铸有限公司,民营公司,5000-10000人,机械/设备/重工,0.6-1.2万/月,重庆-渝北区,2年经验,,招1人,03-23发布,,,年终奖金;专业培训;免费班车;餐饮补贴;五险,
C#高级软件开发工程师,武汉三佳医疗信息技术有限公司,民营公司,50-150人,计算机软件,0.6-1.3万/月,武汉-洪山区,5-7年经验,大专,招若干人,03-23发布,,,绩效奖金;年终奖金;五险,
C#软件工程师,佛山市佛盈盘古信息科技有限公司,民营公司,50-150人,通信/电信运营、增值服务,0.6-1万/月,佛山,1年经验,大专,招1人,03-23发布,,,五险一金;员工旅游;交通补贴;餐饮补贴;年终奖金;周末双休,
硕士研究生java/C#开发工程师,山东国子软件股份有限公司,民营公司,500-1000人,计算机软件,0.8-1万/月,济南-高新区,无工作经验,硕士,招若干人,03-23发布,,,五险一金;交通补贴;餐饮补贴;通讯补贴;年终奖金;专业培训;节假日福利;工龄补贴,
C#开发工程师,广东德生科技股份有限公司,上市公司,1000-5000人,计算机软件,0.7-1.2万/月,广州-天河区,2年经验,本科,招2人,03-23发布,,,五险一金;绩效奖金;定期体检;节假日福利;出差补贴;通讯补贴;专业培训;交通补贴,
C#全栈开发工程师(CS/BS/APP),武汉百胜睿迪软件有限公司,民营公司,50-150人,计算机软件,0.8-1万/月,武汉-洪山区,3-4年经验,本科,招2人,03-23发布,,,五险一金;年终奖金;定期体检;做五休二;节日福利;带薪年假,
高级C#工程师,徐州信通科技有限公司,民营公司,少于50人,计算机软件,0.6-1.2万/月,徐州,无工作经验,,招1人,03-23发布,,,五险一金;绩效奖金;年终奖金;出差补贴;节假日福利,
资深软件开发工程师(asp.net/C#),广州市箭冠网络科技有限公司,民营公司,500-1000人,互联网/电子商务,1-1.5万/月,广州-白云区,5-7年经验,本科,招1人,03-23发布,,,五险一金;员工旅游;餐饮补贴;绩效奖金;年终奖金;弹性工作,
C#高级开发工程师、高级软件工程师,深圳市杰茂科技有限公司,民营公司,50-150人,计算机软件,1.5-2.5万/月,深圳-南山区,无工作经验,,招若干人,03-22发布,,,五险一金;员工旅游;年终奖金;不加班;加班补贴,
C/C#开发实习生,上海宝宏软件有限公司,民营公司,150-500人,计算机软件,3-4.5千/月,上海,无工作经验,招5人,03-22发布,日语熟练,,,,
c#程序员（.net）,湖南易融宝电子商务有限公司,民营公司,少于50人,互联网/电子商务,1-1.5万/月,长沙-岳麓区,无工作经验,,招1人,03-22发布,,,,
C#软件开发工程师,上海光电医用电子仪器有限公司,外资（非欧美）,150-500人,医疗设备/器械,0.7-1.2万/月,上海-徐汇区,1年经验,大专,招1人,03-22发布,,,五险一金;补充医疗保险;补充公积金;员工旅游;交通补贴;餐饮补贴;年终奖金;定期体检,
.NET开发/c#程序员,海南贝瑞科技有限公司,民营公司,少于50人,互联网/电子商务,3-6千/月,海口,3-4年经验,大专,招1人,03-22发布,,,做五休二;周末双休;月员工聚餐;节假日放假;氛围轻松;晋升快;五险一金,
C#开发工程师,合肥高维数据技术有限公司,民营公司,50-150人,计算机软件,0.5-1万/月,合肥-高新区,5-7年经验,,招1人,03-22发布,,,五险一金;员工旅游;交通补贴;弹性工作;周末双休;年终奖金;股票期权,
C#工程师（C/S）,参数餐饮管理（佛山）有限公司,民营公司,少于50人,计算机软件,6-8千/月,佛山-禅城区,无工作经验,大专,招1人,03-22发布,,,,
